word,MoocDsp,MoocReactive
digit,0.0020904973840255967,2.1527770424595138e-05
lagrang,0.0008253466769150387,0.0
window,0.00012864767935119508,0.0006359055550073158
valid,0.0006104773321090101,0.0003206189176460408
poles-zero,0.0001708857444720315,0.0
recommend,0.0005539251101616279,0.0003935949960817621
dial,0.0005126572334160945,0.0
paolo,0.0004952080061490233,0.0
author,0.00028211218686723056,0.00015252132725039212
obvious,0.0001352396843445915,0.00022979338235653876
vladimir,0.0003102522367404046,2.3962140459856676e-05
restrict,0.00038826982576670307,0.00023990224725774998
optic,0.0001708857444720315,0.0
convent,0.00033013867076601543,0.0
realli,0.0019363587406995458,0.0011504113460116176
merit,0.00033013867076601543,0.0
work,0.0015581132326959487,0.003956776440842777
orthogon,0.0018349778671542091,0.0
rect,0.0004952080061490233,0.0
signatur,0.00011948005824276227,0.0010335324972950057
submit,0.00046564003984880933,0.0024455126789593236
option,0.000845087551658905,0.0006200632583718411
line,0.0012526797646713937,0.0010227851884488273
explain,0.0015967907677458823,0.0005755267078728817
to,0.00025442395829643227,0.00025545361077279946
enlarg,0.0001708857444720315,0.0
scale,0.0021126189349537187,4.079170563713871e-05
yet,0.000684096057449787,0.000664220703137956
sent,0.0003364567482269898,0.0006929607938268299
regist,0.0001393664922683731,0.00021527770424595132
coeffici,0.002343536572901731,2.1294306367381595e-05
continu,0.000938978559731098,0.0007252143086367729
rf,0.0001708857444720315,0.0
expoent,0.0001708857444720315,0.0
engulf,0.0001708857444720315,0.0
ehat,0.0001708857444720315,0.0
engag,0.0001708857444720315,0.0
ll,0.00016094252745922608,2.4860594008668912e-05
graduat,0.00016094252745922608,2.4860594008668912e-05
see,0.0019495620696479462,0.0023909203152848164
textbook,0.0008710974081443814,4.485244794681474e-05
inherit,0.00014779830953643664,0.00011415111426915444
read,0.0014175110957666346,0.0009442701458234937
manipul,0.0001551261183702023,4.792428091971335e-05
caus,0.00040883612958476483,0.0008525575813979581
speech,0.0005126572334160945,0.0
improv,0.0007400618833450245,0.0002476856366851253
disagre,0.000341771488944063,0.0
alway,0.0019468635834463167,0.0010149624677866325
lowercas,0.000341771488944063,0.0
super,0.0004529979313392621,6.997403256665882e-05
orthnorm,0.0001708857444720315,0.0
letter,0.0001393664922683731,0.000645833112737854
reach,0.0002743103923220431,0.00012711716542921866
call,0.00043980403019551934,0.0022011259757500996
im,0.0001708857444720315,0.0
someth,0.0015036945102353345,0.0015249282481925336
pedant,0.0001708857444720315,0.0
sir,0.0001708857444720315,0.0
