word,StackTrain,MoocReactive
rip,3.054787971841239e-05,2.8091535712246657e-05
wfilter,7.68296321781379e-06,0.0
hopelessli,7.48053259297098e-06,0.0
non-band-limit,3.841481608906895e-06,0.0
zoomed-in,3.841481608906895e-06,0.0
straighten,1.8063750417270285e-05,0.0
wounder,3.841481608906895e-06,0.0
heck,6.932044529244057e-06,5.737177192736359e-05
decision-mak,3.841481608906895e-06,0.0
cool,2.3340273607160837e-05,0.00019317141551286629
heinlein,3.841481608906895e-06,0.0
debevec,7.68296321781379e-06,0.0
want,0.002302956265688085,0.0009496672061684
turn,0.0003605714294162957,0.0005935429582705103
hi-pass,7.68296321781379e-06,0.0
music-process,3.841481608906895e-06,0.0
donntu,3.841481608906895e-06,0.0
irrevel,3.841481608906895e-06,0.0
chair,1.1005358668394515e-05,0.0
ugly,3.841481608906895e-06,0.0
progress,5.0694120810395616e-05,0.0002649855305205831
data-length,3.841481608906895e-06,0.0
accord,0.0005027899079141603,0.0001875971905640984
interfer,0.0003253699352342744,2.301592737891619e-05
tukey,1.4451000333816228e-05,0.0
msu,3.841481608906895e-06,0.0
artefact,6.298733462277334e-05,2.6065145578950572e-05
alexandru,3.841481608906895e-06,0.0
polyfit,7.48053259297098e-06,0.0
amazingli,3.841481608906895e-06,0.0
votr,3.4573334480162056e-05,0.0
hump,2.9347623115718703e-05,0.0
ashok,3.841481608906895e-06,0.0
wavread,1.8063750417270285e-05,0.0
strugl,7.48053259297098e-06,0.0
modulo,1.4673811557859352e-05,0.0
intrat,3.841481608906895e-06,0.0
adv,3.841481608906895e-06,0.0
bainter,1.536592643562758e-05,0.0
clealri,3.841481608906895e-06,0.0
pm,2.8344300580248007e-05,0.00013032572789475284
see,0.0011311552284962963,0.00210539938958726
transist,3.841481608906895e-06,0.0
satellit,5.704738588930651e-05,0.0
anal,3.841481608906895e-06,0.0
interdepend,3.841481608906895e-06,0.0
reli,8.942953947562489e-05,0.0001741522074669419
bowl,3.841481608906895e-06,0.0
ref,6.066035670593905e-06,0.0005271463191051415
atrial,7.68296321781379e-06,0.0
ne,7.68296321781379e-06,0.0
emb,2.5289250584178395e-05,0.0
akin,1.1005358668394515e-05,0.0
inverted-across-zero,3.841481608906895e-06,0.0
tarnsis,3.841481608906895e-06,0.0
confus,0.0006757165066008455,0.0009403220172501027
hell,6.932044529244057e-06,5.737177192736359e-05
cepstral,0.00011311314685214603,0.0
air,5.704738588930651e-05,0.0
cheby-shev,3.841481608906895e-06,0.0
genet,1.8342264447324192e-05,0.0
reverb,7.806680372483166e-05,0.0
multi-camera,3.841481608906895e-06,0.0
aa,1.1524444826720685e-05,0.0
quantiti,0.0001214118860565414,0.0
game,9.917334367220499e-05,4.9744827722925875e-05
landsat,3.841481608906895e-06,0.0
stefano,3.841481608906895e-06,0.0
dpcm,7.68296321781379e-06,0.0
butterworth,0.0005235581309129307,0.0
phonem,7.718175737964998e-05,0.0
corner-lik,7.68296321781379e-06,0.0
thermographi,3.841481608906895e-06,0.0
andrea,1.3758885456048e-05,2.8468211471702246e-05
osccil,3.841481608906895e-06,0.0
prepar,9.462556097451121e-05,4.7463683834444836e-05
colour,0.0002118884835944474,7.206803270437365e-05
unambigu,7.48053259297098e-06,0.0
gcd,3.841481608906895e-06,0.0
niladri,3.841481608906895e-06,0.0
fft-resampl,7.68296321781379e-06,0.0
convinc,4.7965650279616334e-05,0.00014011014583821028
avenu,2.14034254622606e-05,0.0
quefrency-domain,7.68296321781379e-06,0.0
dma,4.335300100144868e-05,0.0
tiau,3.841481608906895e-06,0.0
aerial,4.544051421029616e-05,0.0
internship,7.48053259297098e-06,0.0
beetween,3.841481608906895e-06,0.0
breakoutboard,7.48053259297098e-06,0.0
stt,3.841481608906895e-06,0.0
map-bas,3.841481608906895e-06,0.0
minimum-phas,4.1276656368144e-05,0.0
mnm,3.841481608906895e-06,0.0
de-convolut,1.1220798889456471e-05,0.0
vocal,0.00017365106466939815,0.0
appspot,3.841481608906895e-06,0.0
up-mix,3.841481608906895e-06,0.0
currenti,3.841481608906895e-06,0.0
behalv,3.841481608906895e-06,0.0
lexic,3.841481608906895e-06,0.0
term,0.0009670460373171939,0.0005029176971799663
vlf,7.48053259297098e-06,0.0
specul,1.4451000333816228e-05,0.0
gabor-descriptor,3.841481608906895e-06,0.0
demo,2.2548260967115236e-05,0.00010663798332154285
disclam,3.841481608906895e-06,0.0
heteroskedast,3.841481608906895e-06,0.0
sophit,3.841481608906895e-06,0.0
apartur,1.1220798889456471e-05,0.0
quasi,7.48053259297098e-06,0.0
lim,7.68296321781379e-06,0.0
steadi,0.000128809096214128,0.0
mdl,3.2514750751086516e-05,0.0
houghlinesp,3.841481608906895e-06,0.0
