word,StackTrain,MoocDsp
chebi,3.808504568333252e-06,0.0
kaiser,7.24036566109484e-05,0.0
rip,3.155294696406084e-05,0.0
wfilter,7.617009136666504e-06,0.0
hopelessli,7.393631900120241e-06,0.0
non-band-limit,3.808504568333252e-06,0.0
zoomed-in,3.808504568333252e-06,0.0
straighten,1.7780524660651383e-05,0.0
wounder,3.808504568333252e-06,0.0
heck,7.393631900120241e-06,0.0
decision-mak,3.808504568333252e-06,0.0
cool,2.7153555021869033e-05,0.0
heinlein,3.808504568333252e-06,0.0
debevec,7.617009136666504e-06,0.0
want,0.0027891304782802335,0.0010771140965690216
turn,0.0004193039200133351,0.000639660108997821
hi-pass,7.617009136666504e-06,0.0
music-process,3.808504568333252e-06,0.0
donntu,3.808504568333252e-06,0.0
irrevel,3.808504568333252e-06,0.0
chair,1.0852714842839674e-05,0.0
ugly,3.808504568333252e-06,0.0
progress,5.305508920241986e-05,0.00046261916299604174
data-length,3.808504568333252e-06,0.0
accord,0.000564359248353505,0.00012773053632430403
interfer,0.0003310111829386693,0.0
tukey,1.4224419728521107e-05,0.0
msu,3.808504568333252e-06,0.0
artefact,6.471411412346341e-05,0.0
alexandru,3.808504568333252e-06,0.0
polyfit,7.393631900120241e-06,0.0
amazingli,3.808504568333252e-06,0.0
votr,3.427654111499927e-05,0.0
hump,2.8940572914239135e-05,0.0
ashok,3.808504568333252e-06,0.0
wavread,1.7780524660651383e-05,0.0
strugl,7.393631900120241e-06,0.0
modulo,1.4470286457119568e-05,0.0
intrat,3.808504568333252e-06,0.0
adv,3.808504568333252e-06,0.0
bainter,1.5234018273333008e-05,0.0
clealri,3.808504568333252e-06,0.0
pm,3.083974794203878e-05,0.0
see,0.0014579474421187952,0.0022806508250484
transist,3.808504568333252e-06,0.0
satellit,5.563229599980538e-05,0.0
anal,3.808504568333252e-06,0.0
interdepend,3.808504568333252e-06,0.0
reli,0.00010352227357207354,0.0
bowl,3.808504568333252e-06,0.0
ref,7.393631900120241e-06,0.0
atrial,7.617009136666504e-06,0.0
ne,7.617009136666504e-06,0.0
emb,2.4892734524911938e-05,0.0
akin,1.0852714842839674e-05,0.0
inverted-across-zero,3.808504568333252e-06,0.0
tarnsis,3.808504568333252e-06,0.0
confus,0.0007121635902211535,0.001827214537880439
hell,7.393631900120241e-06,0.0
cepstral,0.00010975091663456374,0.0
air,5.563229599980538e-05,0.0
cheby-shev,3.808504568333252e-06,0.0
genet,1.808785807139946e-05,0.0
reverb,7.624385096492821e-05,0.0
multi-camera,3.808504568333252e-06,0.0
aa,1.1425513704999755e-05,0.0
quantiti,0.00010974008168098935,0.00015539233325401108
game,0.00010521614973012933,0.0
landsat,3.808504568333252e-06,0.0
stefano,3.808504568333252e-06,0.0
dpcm,7.617009136666504e-06,0.0
butterworth,0.0004980954587281291,0.0
phonem,7.526722399973671e-05,0.0
corner-lik,7.617009136666504e-06,0.0
thermographi,3.808504568333252e-06,0.0
andrea,1.4224419728521107e-05,0.0
osccil,3.808504568333252e-06,0.0
prepar,0.0001001977829083474,0.0
colour,0.00021632708772058664,0.0
unambigu,7.393631900120241e-06,0.0
gcd,3.808504568333252e-06,0.0
niladri,3.808504568333252e-06,0.0
fft-resampl,7.617009136666504e-06,0.0
convinc,5.14772446289897e-05,0.000334445442963012
avenu,2.1035297976040558e-05,0.0
quefrency-domain,7.617009136666504e-06,0.0
