word,StackTrain,StackTest
wfilter,9.294386061706173e-06,0.0
hopelessli,9.057615510046973e-06,0.0
non-band-limit,4.647193030853086e-06,0.0
zoomed-in,4.647193030853086e-06,0.0
straighten,2.0886394902917207e-05,1.692840892542062e-05
wounder,4.647193030853086e-06,0.0
heck,8.652853578526057e-06,1.753282991511133e-05
decision-mak,4.647193030853086e-06,0.0
cool,2.9905019705310276e-05,7.574374443976368e-05
heinlein,4.647193030853086e-06,0.0
debevec,9.294386061706173e-06,0.0
want,0.0020618698431042015,0.002074322236456195
turn,0.0004193650328660657,0.000431910868989715
hi-pass,9.294386061706173e-06,0.0
music-process,4.647193030853086e-06,0.0
donntu,4.647193030853086e-06,0.0
irrevel,4.647193030853086e-06,0.0
chair,1.3334436195277885e-05,0.0
ugly,4.647193030853086e-06,0.0
progress,6.22207231543572e-05,0.00013271014206140265
data-length,4.444812065092628e-06,1.8012585844582976e-05
accord,0.0005207096752775699,0.00044970925489551703
interfer,0.0003182636735783621,0.00029763749067738816
tukey,1.6235574819015367e-05,4.934595898784692e-05
msu,4.647193030853086e-06,0.0
artefact,7.140272166604137e-05,8.680778633908106e-05
alexandru,4.647193030853086e-06,0.0
polyfit,8.652853578526057e-06,1.753282991511133e-05
amazingli,4.647193030853086e-06,0.0
votr,4.182473727767778e-05,0.0
hump,3.555849652074103e-05,0.0
ashok,4.647193030853086e-06,0.0
wavread,2.0886394902917207e-05,1.692840892542062e-05
strugl,9.057615510046973e-06,0.0
modulo,1.6496183294010286e-05,3.3425363473173474e-05
intrat,4.647193030853086e-06,0.0
adv,4.647193030853086e-06,0.0
bainter,1.8588772123412345e-05,0.0
clealri,4.647193030853086e-06,0.0
pm,3.818187989398954e-05,0.0
see,0.0014945441732843727,0.0013984848663893146
transist,4.647193030853086e-06,0.0
satellit,6.135510426382584e-05,0.00013163365709660725
anal,4.444812065092628e-06,1.8012585844582976e-05
interdepend,4.444812065092628e-06,1.8012585844582976e-05
reli,0.00011671884603387153,4.173553485588003e-05
bowl,4.647193030853086e-06,0.0
ref,8.416083026866856e-06,5.115922195691905e-05
atrial,9.294386061706173e-06,0.0
ne,9.294386061706173e-06,0.0
emb,2.9240952864084092e-05,1.692840892542062e-05
akin,1.3334436195277885e-05,0.0
inverted-across-zero,4.647193030853086e-06,0.0
tarnsis,4.647193030853086e-06,0.0
confus,0.0008137573709660897,0.000722294579805615
hell,9.057615510046973e-06,0.0
cepstral,0.00012124619881499355,8.423139603145145e-05
air,5.9022213864626446e-05,0.00011255873969388957
cheby-shev,4.647193030853086e-06,0.0
genet,2.020025066785856e-05,9.823373692520275e-05
reverb,8.088876730308755e-05,0.0002422880324172203
multi-camera,4.647193030853086e-06,0.0
aa,1.3941579092559259e-05,0.0
quantiti,0.00011972031319101815,0.00014928189657188813
game,0.00011615868903186132,8.558776254773972e-05
landsat,4.647193030853086e-06,0.0
stefano,4.647193030853086e-06,0.0
dpcm,9.294386061706173e-06,0.0
butterworth,0.00045538528390031243,0.0005286957190369174
phonem,8.075030049313493e-05,0.00025610111948722286
corner-lik,9.294386061706173e-06,0.0
thermographi,4.647193030853086e-06,0.0
andrea,1.7518639785375598e-05,0.0
osccil,4.647193030853086e-06,0.0
prepar,0.00010759747160919947,7.927970716249539e-05
colour,0.0002227433073679732,0.00023494059561619026
unambigu,9.057615510046973e-06,0.0
gcd,4.326426789263029e-06,3.506565983022266e-05
niladri,4.647193030853086e-06,0.0
fft-resampl,9.294386061706173e-06,0.0
convinc,6.292691232092138e-05,3.0001305779195e-05
avenu,2.5958560735578173e-05,0.0
quefrency-domain,9.294386061706173e-06,0.0
dma,5.255591935612679e-05,0.0
tiau,4.647193030853086e-06,0.0
aerial,5.515160429131822e-05,0.0
internship,9.057615510046973e-06,0.0
beetween,4.647193030853086e-06,0.0
breakoutboard,9.057615510046973e-06,0.0
stt,4.647193030853086e-06,0.0
map-bas,4.647193030853086e-06,0.0
minimum-phas,4.627815286792061e-05,0.00010939953372197066
mnm,4.647193030853086e-06,0.0
de-convolut,1.358642326507046e-05,0.0
vocal,0.00018280854654700198,0.00013469654835094274
appspot,4.647193030853086e-06,0.0
up-mix,4.647193030853086e-06,0.0
currenti,4.647193030853086e-06,0.0
behalv,4.647193030853086e-06,0.0
lexic,4.444812065092628e-06,1.8012585844582976e-05
term,0.0009730798905222841,0.0010053199651003323
vlf,9.057615510046973e-06,0.0
specul,1.7518639785375598e-05,0.0
gabor-descriptor,4.647193030853086e-06,0.0
demo,2.7451654004194793e-05,4.7677600674186434e-05
disclam,4.647193030853086e-06,0.0
heteroskedast,4.647193030853086e-06,0.0
sophit,4.647193030853086e-06,0.0
apartur,1.2979280367789087e-05,5.259848974533399e-05
quasi,9.057615510046973e-06,0.0
lim,9.294386061706173e-06,0.0
steadi,0.00014038083117316012,4.162630558749292e-05
mdl,3.94169395170951e-05,0.0
houghlinesp,4.647193030853086e-06,0.0
obtainhanwindow,4.647193030853086e-06,0.0
squarewav,8.652853578526057e-06,1.753282991511133e-05
honeslti,4.647193030853086e-06,0.0
perspect,0.00019508548373897111,0.00012548940671960255
ass,4.444812065092628e-06,1.8012585844582976e-05
ballpark,1.3334436195277885e-05,0.0
addendum,9.057615510046973e-06,0.0
astray,4.647193030853086e-06,0.0
trilinear,1.3941579092559259e-05,0.0
unconvinc,4.647193030853086e-06,0.0
pre-multipli,4.647193030853086e-06,0.0
lobdel,4.647193030853086e-06,0.0
cic,9.613585314415129e-05,4.869877742134527e-05
quickli,0.00015565192450233222,0.0001547193521043493
